GeneID,TranscriptID,Reference,Method of Identification,Cell Type,len(3utr),dEJ,#(uORF),Category
ATG4B,ENST00000402096,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,364,_,0,siUPF1-Up
ATG4B,ENST00000400772,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,269,209,0,siUPF1-Up
BACE2,ENST00000330333,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,973,_,0,siUPF1-Up
BACE2,ENST00000347667,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,6894,_,0,siUPF1-Up
BAG1,ENST00000379707,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,522,262,1,siUPF1-Up
BEND6,ENST00000370748,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2741,_,2,siUPF1-Up
BEND6,ENST00000370746,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1270,_,1,siUPF1-Up
BRSK2,ENST00000382179,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1022,_,3,siUPF1-Up
BRSK2,ENST00000544817,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,224,57,1,siUPF1-Up
BRSK2,ENST00000528841,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,991,_,0,siUPF1-Up
BRSK2,ENST00000531197,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,754,_,0,siUPF1-Up
BRSK2,ENST00000308219,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1696,_,0,siUPF1-Up
C11orf80,ENST00000525449,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,90,_,1,siUPF1-Up
C11orf80,ENST00000532565,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,56,_,3,siUPF1-Up
C11orf80,ENST00000531400,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,35,_,1,siUPF1-Up
C11orf80,ENST00000532727,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1460,1336,0,siUPF1-Up
C11orf80,ENST00000540737,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,88,_,2,siUPF1-Up
C14orf79,ENST00000389964,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1215,298,0,siUPF1-Up
C14orf79,ENST00000547315,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,753,_,0,siUPF1-Up
C14orf79,ENST00000549240,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,443,_,4,siUPF1-Up
C1orf109,ENST00000358011,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1553,_,0,siUPF1-Up
C1orf109,ENST00000464085,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,12,_,0,siUPF1-Up
C1orf27,ENST00000287859,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2302,_,0,siUPF1-Up
C1orf27,ENST00000367470,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2291,_,0,siUPF1-Up
C1orf27,ENST00000419367,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,475,_,0,siUPF1-Up
C6orf141,ENST00000529246,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,568,_,2,siUPF1-Up
C6orf141,ENST00000414696,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,830,429,1,siUPF1-Up
C6orf48,ENST00000443974,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,4,siUPF1-Up
C6orf48,ENST00000444192,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C6orf48,ENST00000416886,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,3,siUPF1-Up
C6orf48,ENST00000375640,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,3,siUPF1-Up
C6orf48,ENST00000552514,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,410,195,0,siUPF1-Up
C6orf48,ENST00000375633,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,101,_,3,siUPF1-Up
C6orf48,ENST00000375638,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,3,siUPF1-Up
C6orf48,ENST00000395788,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,101,_,3,siUPF1-Up
C6orf48,ENST00000375642,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,4,siUPF1-Up
C6orf48,ENST00000430690,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,4,siUPF1-Up
C6orf48,ENST00000549426,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,410,195,0,siUPF1-Up
C6orf48,ENST00000435938,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C6orf48,ENST00000375635,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C6orf48,ENST00000375639,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C6orf48,ENST00000456268,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C6orf48,ENST00000395789,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,4,siUPF1-Up
C6orf48,ENST00000424962,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,3,siUPF1-Up
C6orf48,ENST00000375641,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C6orf48,ENST00000436558,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,4,siUPF1-Up
C6orf48,ENST00000458514,Lykke-Andersen et al. 2014; Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa; human U2OS,98,_,2,siUPF1-Up
C8orf58,ENST00000289989,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,844,_,0,siUPF1-Up
C9orf85,ENST00000479413,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,569,108,1,siUPF1-Up
C9orf85,ENST00000473252,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,449,335,0,siUPF1-Up
C9orf85,ENST00000334731,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,615,_,1,siUPF1-Up
C9orf85,ENST00000377031,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,377,_,1,siUPF1-Up
CAPRIN2,ENST00000417045,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,104,_,1,siUPF1-Up
CAPRIN2,ENST00000454014,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2810,1892,2,siUPF1-Up
CAPRIN2,ENST00000395805,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,890,_,1,siUPF1-Up
CARKD,ENST00000424185,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,577,_,0,siUPF1-Up
CARKD,ENST00000309957,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,1472,_,0,siUPF1-Up
CAV1,ENST00000393470,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,32,_,0,siUPF1-Up
CAV1,ENST00000393468,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,226,_,0,siUPF1-Up
CAV1,ENST00000341049,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1889,_,1,siUPF1-Up
CAV1,ENST00000393467,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1889,_,0,siUPF1-Up
CCDC18,ENST00000401026,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,130,_,0,siUPF1-Up
CCNB1IP1,ENST00000398169,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates,human HEK-293; human HeLa,180,_,3,siUPF1-Up
CCNB1IP1,ENST00000358932,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates,human HEK-293; human HeLa,180,_,4,siUPF1-Up
CCNB1IP1,ENST00000353689,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates,human HEK-293; human HeLa,179,_,2,siUPF1-Up
CCNB1IP1,ENST00000398163,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates,human HEK-293; human HeLa,121,_,3,siUPF1-Up
CCNB1IP1,ENST00000556854,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates,human HEK-293; human HeLa,505,456,4,siUPF1-Up
CCNB1IP1,ENST00000437553,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates,human HEK-293; human HeLa,179,_,3,siUPF1-Up
CD99L2,ENST00000466436,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,305,_,0,siUPF1-Up
CD99L2,ENST00000355149,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2695,_,0,siUPF1-Up
CD99L2,ENST00000437787,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2695,_,0,siUPF1-Up
CDKN1C,ENST00000414822,Lou et al. 2014,siUPF1 RNA half-life,mouse P19,708,_,1,siUPF1-Up
CDKN1C,ENST00000313407,Lou et al. 2014,siUPF1 RNA half-life,mouse P19,685,_,0,siUPF1-Up
CELSR3,ENST00000164024,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1736,_,6,siUPF1-Up
CERS1,ENST00000429504,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1017,_,0,siUPF1-Up
CERS1,ENST00000542296,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1015,_,2,siUPF1-Up
CES2,ENST00000568470,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,2049,1581,5,siUPF1-Up
CES2,ENST00000317091,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1071,_,5,siUPF1-Up
CES2,ENST00000417689,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1044,_,5,siUPF1-Up
CES2,ENST00000570032,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,261,63,2,siUPF1-Up
CHD9,ENST00000447540,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2606,_,1,siUPF1-Up
CHD9,ENST00000566029,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,4255,_,1,siUPF1-Up
CHST3,ENST00000373115,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,5093,_,0,siUPF1-Up
CLCF1,ENST00000312438,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,968,_,1,siUPF1-Up
CLCF1,ENST00000533438,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,174,_,1,siUPF1-Up
CLDN4,ENST00000431918,Hurt et al. 2013; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human U2OS,852,_,11,siUPF1-Up
CLDN4,ENST00000435050,Hurt et al. 2013; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human U2OS,853,_,11,siUPF1-Up
CLDN4,ENST00000340958,Hurt et al. 2013; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human U2OS,853,_,0,siUPF1-Up
CLHC1,ENST00000407122,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,141,_,1,siUPF1-Up
CLHC1,ENST00000401408,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,141,_,2,siUPF1-Up
CLHC1,ENST00000406076,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,121,_,2,siUPF1-Up
CMTM3,ENST00000460097,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1255,_,3,siUPF1-Up
CMTM3,ENST00000567572,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1243,_,2,siUPF1-Up
CMTM3,ENST00000564060,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,297,_,0,siUPF1-Up
CMTM3,ENST00000565666,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,203,_,3,siUPF1-Up
CMTM3,ENST00000361909,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1255,_,1,siUPF1-Up
CMTM3,ENST00000424011,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1255,_,2,siUPF1-Up
CMTM3,ENST00000562707,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,64,_,0,siUPF1-Up
CMTM3,ENST00000568477,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,131,_,2,siUPF1-Up
CMTM3,ENST00000566121,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,123,_,2,siUPF1-Up
CMTM3,ENST00000566756,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1387,146,0,siUPF1-Up
COX19,ENST00000344111,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3303,_,0,siUPF1-Up
COX19,ENST00000457254,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1011,839,0,siUPF1-Up
CPZ,ENST00000315782,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,132,_,0,siUPF1-Up
CPZ,ENST00000382480,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,144,_,2,siUPF1-Up
CPZ,ENST00000515606,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2146,1656,0,siUPF1-Up
CPZ,ENST00000360986,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,134,_,0,siUPF1-Up
CSRNP1,ENST00000273153,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1200,_,0,siUPF1-Up
CSRNP1,ENST00000514182,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,717,_,0,siUPF1-Up
CSRP1,ENST00000340006,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1179,_,2,siUPF1-Up
CSRP1,ENST00000532460,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,734,_,1,siUPF1-Up
CSRP1,ENST00000531916,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,64,_,3,siUPF1-Up
CSRP1,ENST00000526723,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,36,_,0,siUPF1-Up
CTDSP1,ENST00000443891,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,251,_,4,siUPF1-Up
CXorf38,ENST00000378421,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,227,_,5,siUPF1-Up
CXorf38,ENST00000327877,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1131,_,0,siUPF1-Up
CXorf38,ENST00000378426,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1582,_,3,siUPF1-Up
CYB561,ENST00000581573,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,1186,_,1,siUPF1-Up
CYB561,ENST00000542042,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,262,_,1,siUPF1-Up
CYB561,ENST00000448884,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,1019,_,0,siUPF1-Up
CYB561,ENST00000582997,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,88,_,0,siUPF1-Up
DCLRE1C,ENST00000396817,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,237,_,1,siUPF1-Up
DCLRE1C,ENST00000378258,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,237,_,1,siUPF1-Up
DCLRE1C,ENST00000378278,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,237,_,0,siUPF1-Up
DCLRE1C,ENST00000378249,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,237,_,4,siUPF1-Up
DCLRE1C,ENST00000378242,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,220,_,1,siUPF1-Up
DCLRE1C,ENST00000378254,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,237,_,2,siUPF1-Up
DCLRE1C,ENST00000378255,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,237,_,2,siUPF1-Up
DCLRE1C,ENST00000378246,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,529,_,2,siUPF1-Up
DCUN1D2,ENST00000478244,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,982,_,2,siUPF1-Up
DCUN1D2,ENST00000332592,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2210,_,0,siUPF1-Up
DCUN1D2,ENST00000375403,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2581,291,0,siUPF1-Up
DDIT3,ENST00000346473,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,216,_,1,siUPF1-Up
DDIT3,ENST00000547303,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,221,_,1,siUPF1-Up
DDIT3,ENST00000551116,Lykke-Andersen et al. 2014; Schmidt et al. 2015,SMG6 endonuclease substrates; SMG6 endonuclease substrates ,human HEK-293; human HeLa,220,_,1,siUPF1-Up
DDIT4,ENST00000307365,Hurt et al. 2013; Lykke-Andersen et al. 2014; Tani et al. 2012,"siUPF1, CHX, UPF1 CLIP; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa,848,_,0,siUPF1-Up
DDX51,ENST00000397333,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2678,_,0,siUPF1-Up
DENND3,ENST00000519811,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1575,_,0,siUPF1-Up
DENND3,ENST00000424248,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1563,_,4,siUPF1-Up
DENND3,ENST00000523308,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1569,_,4,siUPF1-Up
DENND3,ENST00000518198,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1557,248,0,siUPF1-Up
DNAJB2,ENST00000336576,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,1913,_,0,siUPF1-Up
DNAJB2,ENST00000392086,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,901,_,0,siUPF1-Up
DOK1,ENST00000409429,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,422,_,0,siUPF1-Up
DOK1,ENST00000233668,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,440,_,3,siUPF1-Up
DOK1,ENST00000340004,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,1164,_,0,siUPF1-Up
DUSP12,ENST00000484291,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,794,341,0,siUPF1-Up
DUSP12,ENST00000367943,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,215,_,0,siUPF1-Up
DUSP12,ENST00000464004,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,304,273,0,siUPF1-Up
EDN1,ENST00000379375,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1127,_,0,siUPF1-Up
EGF,ENST00000265171,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,811,_,1,siUPF1-Up
EGF,ENST00000509793,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,539,_,1,siUPF1-Up
ERCC8,ENST00000381118,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2019,1166,1,siUPF1-Up
ERCC8,ENST00000265038,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,783,_,3,siUPF1-Up
FOSL2,ENST00000379619,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,4864,_,0,siUPF1-Up
