gene	M_i	CV
SMARCA1	0.592933753871822	0.261200183033597
CLEC11A	0.616699900888135	0.280990724961071
TPT1	0.645382306648341	0.28637392079886
FIBIN	0.874097696784484	0.478049566124938
SSR4	0.637089237136154	0.252236446646349
SNX2	0.546705107975226	0.203615185358775
SRP68	0.490027545130919	0.139537984019763
C1S	1.29321534955352	0.771816187688585
RHOQ	0.706630143637779	0.352462487325532
EIF5A	0.652658103410748	0.379265341643015
NREP	0.956531308064995	0.63098390523546
SPON2	2.07277106991579	1.02720555187331
TBC1D9B	0.519705146038249	0.15656617321954
SEPT9	0.660848554797828	0.362251359664575
CHMP2A	0.54582049494521	0.18036781251252
LITAF	0.92065883140039	0.673289725552842
ANTXR1	0.726003866912376	0.355455307112033
PDIA3	0.678417658107213	0.377552120058487
LEPROT	0.643492621502697	0.329619053590108
SH3BGRL3	0.710928171903774	0.37340779929504
DECR1	0.556389074828557	0.214765216556916
TAX1BP3	0.560431909572446	0.18641614203675
MMP2	0.636788175987295	0.265874349537906
RPL22	0.589314902568001	0.210969243573439
C16orf13	0.688924561972055	0.345988754299579
H2AFY	0.502999702524672	0.181264749705884
PYCR1	0.641507750262528	0.293623198097964
SRSF7	0.586659670483133	0.290358794378629
TGFBR2	0.886546453621231	0.471393793607674
ITGAV	0.963121519406537	0.777148623447044
NT5E	1.05486775835201	0.745118388544821
ACTR3	0.621474156154486	0.297071656307776
BOLA3	0.565207462063067	0.223503228135018
PSMA4	0.510626598447359	0.176257729972751
GRINA	0.599967602443881	0.238312568118812
NDUFC2	0.557381697313782	0.190896769757634
BMP1	0.699429676604115	0.389782003811932
SNRPN	0.620078936130397	0.218993232481674
GNL2	0.534721632641726	0.220135717024334
LINC01420	0.529563865024683	0.149983546855955
TRAF7	0.504086659340821	0.121161913014494
HIGD1A	0.689686322637377	0.354839119720242
C12orf57	0.596593164047661	0.208870962427268
SH3BGRL	0.770177473065314	0.429334623714556
COL4A1	1.94826146433684	1.03182022248961
FBXO7	0.488965312388	0.159223520865388
PPP1R12C	0.577498424161572	0.237787163811718
NPM1	0.607467145938149	0.291693005840635
RPL13A	0.542481140630648	0.140806141264422
TMEM115	0.578471182347495	0.212439288938965
LGALS1	0.609052091713395	0.270844193807922
NDUFA8	0.496342122383561	0.100772928689738
CKAP4	0.68553693399304	0.391147569106226
ODC1	0.697666612672063	0.406221250680458
PTEN	0.618209752259453	0.294686439153577
MDH2	0.553509206063548	0.230291741115932
HSPB6	1.22297525536506	0.827652254185424
LZTS2	0.561145279146244	0.206352292498312
UQCRC1	0.53845387352677	0.180695289416564
RING1	0.529118499539332	0.148224915240001
COL6A2	0.613994781144561	0.253359370348344
FAM129B	0.56406378773273	0.225483019960582
PFDN5	0.550908118397602	0.173686410126943
STX10	0.507391092792991	0.14121657057705
LAMTOR5	0.512763080314282	0.117494065261464
SQSTM1	0.838543049303834	0.416343794347389
ST5	0.7163442080319	0.343980757793037
RCC2	0.560103228876989	0.187831440835651
SNAI2	0.6658418080021	0.350538234599621
CYTH3	0.621502596826876	0.296679452360123
RPS13	0.624920748257974	0.216675371481241
NOMO2	0.734153282470177	0.372174279083388
IQGAP1	0.808586928249892	0.398981926863164
ACTG2	3.18909950652141	1.4113438133493
TCP1	0.533153262317894	0.222905300798228
CTNNB1	0.581870795367165	0.238980582039029
BOD1	0.539389361160005	0.172506952396206
ATP5L	0.748096901292108	0.334908720688618
MAN2B1	0.589229259150472	0.224029414281782
RHOB	0.780393016108836	0.397219875090102
GAA	0.817987166541664	0.36711949417224
RBM3	0.710540145964981	0.410846400949454
COX6A1	0.546496229666902	0.174569196985477
SKA2	0.671081042228741	0.384342185232757
ARF6	0.62419742640357	0.323897362660986
HMGN1	0.55999785538579	0.253444342194276
ADAM12	1.05058670875856	0.593178874820633
SRSF11	0.638787789727503	0.278687533714308
ATP5I	0.632688346131397	0.226974349433282
RTFDC1	0.482868984761028	0.119319817231872
TCF25	0.48491028000544	0.128035578565921
PJA2	0.776432990446524	0.389780976495643
WIPF1	0.753219848554061	0.424976251876651
SYNC	0.612878008076932	0.283162001816669
PTMS	0.665379243258244	0.335949844691792
TAF10	0.773219397267679	0.382857280074104
S100A13	0.599699551082992	0.260230781540739
EIF4EBP1	0.651391022072649	0.282250789728942
STX5	0.506408080881272	0.125426937521271
ST6GALNAC6	0.595795686630565	0.242343445393575
GNB1	0.525763795480065	0.183326865906518
PIH1D1	0.5183256445045	0.155368003184713
M6PR	0.549649053080249	0.165592150202552
GRN	0.66341196339382	0.28391488551353
LSM14B	0.50943245863616	0.154431316933072
C19orf53	0.625618125242206	0.288904853510633
XRCC5	0.530457625763941	0.219149253937349
NRSN2	0.538385600073055	0.191105569216798
CSNK2B	0.506147535815467	0.119520364835369
RHOG	0.547255232649329	0.187001699944241
BFAR	0.484687183592919	0.0954237861048081
NIFK	0.646670535765195	0.330039541867169
HDAC2	0.547248067263575	0.214239321485219
HLA-A	0.937380807078883	0.515338852958129
EIF3F	0.574241096864021	0.210264198812431
MRFAP1	0.495988281615941	0.163591445370446
C17orf89	1.21444116973758	0.583716914274403
TPP1	0.742766996609998	0.388063478329615
POFUT2	0.555855801179128	0.222981288547581
SLBP	0.528136953513194	0.204519030559198
SWI5	0.534913879108057	0.177104074420161
SNX17	0.5396533834371	0.181345694070741
RRBP1	0.525215623801254	0.179064733331963
TEAD3	0.649798226515017	0.268895001889668
BLOC1S1	0.610329749495777	0.239967021046262
C14orf119	0.518920706864984	0.172050168216519
IP6K2	0.557432275314479	0.204300277437725
CDH13	0.801151883652813	0.397866416851608
CD59	0.676807013231612	0.396576167155871
ACIN1	0.509988167931589	0.1357554811767
PKN1	0.538105981251613	0.186508828519105
SNU13	0.550787637454881	0.233406571590061
GPX7	0.909190922698371	0.509897180197617
PDIA4	0.744394099320278	0.457456668950474
ENY2	0.562302681998918	0.190733718164263
FUCA2	0.611304684336358	0.307728142090141
MOCS2	0.571217976498501	0.246361425543325
ABHD17A	0.583109019457991	0.267426292450298
CANX	0.652493974167025	0.339920450195393
VPS25	0.496582010164125	0.120129118225415
MRAS	0.574996014947731	0.216856173973484
RNF7	0.548693933962189	0.203331215067174
IL11RA	0.684804524315844	0.283132162992383
YIPF5	0.790691495032159	0.48751379184037
ALDH1A3	1.24921331375795	0.966626482829699
DNAJC7	0.492654146657565	0.133621556334822
GADD45A	0.730176574787381	0.535014951249746
NRBP1	0.486900259335361	0.129596633240725
G3BP2	0.773676352366656	0.394735978803388
MIF	0.654165962444087	0.255931439692537
GADD45GIP1	0.624809373365021	0.302198997384077
CAPN2	0.575866506884766	0.26144120679147
UBE2L3	0.500806770835982	0.165818672218206
CARHSP1	0.611140300232834	0.227624376052321
RPL13	0.638680220776196	0.292187514291439
ELN	1.69863668353608	1.27534339948521
SUPT4H1	0.533159472594053	0.157994319381577
IGF2BP2	0.544857822754444	0.231838793553688
MTFR1L	0.509280640207001	0.134577151770669
GNG10	0.73849199905182	0.405304760420211
FOXD1	0.821084371716823	0.331903894071689
CCDC12	0.681561648225594	0.300180197490213
TPM3	0.766496476657244	0.493121850195646
CFAP36	0.527324262602648	0.133332212244586
RPL36A	0.743657540748756	0.332292971231799
PEBP1	0.559246730263934	0.271865737405038
ARL6IP4	0.545356221435058	0.161110053456634
FOS	1.57172073374835	0.969141168937474
VEGFC	0.655833934403099	0.420036491135945
CTSF	0.80752896781965	0.417298243078549
RPS20	0.627457692182742	0.237770345469759
PTS	0.656483122650289	0.310051129495744
ARPC1B	0.651544927843705	0.324404112375081
HLA-C	1.52035196083258	0.9306356260226
TMSB10	0.637463487451213	0.267263719272898
SND1	0.534165304956645	0.197793382149954
FAP	0.820646363417097	0.406391742082464
RPL30	0.650590632483029	0.254110472669273
PTK7	0.758918146383132	0.28094549020378
DDOST	0.536335346208142	0.185024348680591
RALA	0.635822226524657	0.302969378613879
CDC34	0.538572052055077	0.18880908281647
MED4	0.512917864048577	0.172973821829988
SON	0.551889076843707	0.246522657994917
PXN	0.51996421054171	0.202740088750317
TMEM14C	0.540041321107228	0.167971174593549
BAG3	0.525688130832274	0.200362543988332
C1orf198	0.811599844418893	0.390423277250645
DDX17	0.615839337957532	0.266867685424586
FBLN1	1.07648336642155	0.64276317462717
MTX2	0.520349251041928	0.157561482780763
MFAP4	1.38112203294592	0.682799367453404
ESD	0.54568477377158	0.200581488650046
ETHE1	0.71547432115198	0.381338801680534
MAP1LC3B	0.526577601361836	0.158601955536179
PITPNA	0.533005338988613	0.189440610759647
RARG	0.720537162788558	0.359567699620662
TNC	0.974295473246789	0.503146601203178
ATP8B2	0.631379861156432	0.310656337418758
FAT1	0.74153588094596	0.339754809821432
TMBIM6	0.522443786246898	0.206240891608103
COX7A2	0.544349909912002	0.17875355668699
ITGBL1	1.23335446855328	0.583216421021069
NUMB	0.547666863184503	0.218031288245562
UFM1	0.657847780114067	0.341071216239061
NECTIN2	0.597834521163164	0.236253161508101
VAMP5	0.925398181620061	0.423961129766048
TNIP1	0.525930904083142	0.163330431217735
CERS2	0.490749901950322	0.125025181493871
ABHD4	0.872709195725391	0.430073435745768
LMAN1	0.882605467548354	0.581639323729443
TM9SF3	0.951912781160374	0.525290885733289
MED10	0.55538045786824	0.213399184914352
PPA1	0.587528018723926	0.268590673861039
SH3GL1	0.515914972372018	0.169660040213925
PLXNB2	0.673290895986577	0.322142184718228
ARFGAP3	0.601901603433279	0.277131497466581
SPNS1	0.659883976049355	0.279173015578338
TRIP10	0.67756299355827	0.310009409415682
PLAC9	1.12263417305863	0.752258212965272
NDUFB9	0.55325246280348	0.21244332381887
H3F3A	0.546931525561671	0.222717367242509
ID3	1.25936606221758	0.918614246880422
SHISA5	0.535576341856345	0.182976236468774
SRI	0.602673027001179	0.311289877387899
MOXD1	1.08135881860717	0.673478511306677
RNPS1	0.507348352441277	0.180417149131238
COL5A1	0.82601453956742	0.390665320780827
SPHK1	0.944227304017246	0.466933447060945
TOMM20	0.553934877601758	0.227165192479785
IARS	0.596203539239783	0.259169666666663
CPXM2	2.09965754224135	0.56417297635573
NEK6	0.645962910536204	0.306748690972841
C1QBP	0.586561423811279	0.306390895697618
DPM1	0.5768793076692	0.273412280958305
COPS7A	0.51742169602096	0.175541639478013
PRDX6	0.605324781977663	0.283601280962669
AMOTL2	0.642618678575751	0.287530418734532
GLUD1	0.550314552979297	0.248930314580672
PXK	0.647251156302057	0.35467012345415
GRHPR	0.503348710771647	0.149278104013015
CIZ1	0.518920523662073	0.168055410367861
CKLF	0.531993090848409	0.161435384504545
MDK	1.07881811236764	0.637453540979252
SLC39A13	0.612456903070086	0.242354799773324
EBNA1BP2	0.570877810695606	0.279491349879023
C11orf24	0.550642711047509	0.218521904365405
RPS17	0.705125855050101	0.302062708645732
STX8	0.517802559712004	0.141386916590206
MRPL15	0.527934005204741	0.194484856678599
MRPL18	0.581312166633202	0.2733198207607
H1FX	0.631585872626368	0.298165227468784
POLR2H	0.523445311256252	0.145878980323603
TMEM248	0.546239923500746	0.227842926068773
UBE2E1	0.579804217543243	0.25816928261279
LSM10	0.567403321804275	0.194646294373602
GARS	0.544380251276869	0.243405176353634
EGR1	1.25763716677707	0.847114787227516
NCKAP1	0.754014712532143	0.37060199932851
CD248	0.655398110418244	0.320718042167187
BET1L	0.514377858011869	0.161005181190249
MRPL14	0.553495036200194	0.18422483275258
RARS2	0.568204814396196	0.271859063309187
TXNDC12	0.538234772174782	0.173923751330079
ADGRA2	0.650314544117182	0.276297796737756
SNRPE	0.696931089176381	0.393895395170627
ZFAND3	0.566261134196143	0.234072665540142
COL8A1	1.06406032313416	0.608782445769697
SGCE	0.606224546511215	0.271651508849721
MEIS3	0.609500853034116	0.267382858574123
SSU72	0.527713333977396	0.173258160208862
EIF3H	0.516251406728588	0.170055709357285
ZNF207	0.503276738042476	0.18032852008643
DAP	0.565584588125269	0.233959007186036
P4HB	0.706285812593191	0.331219612688541
PLAU	0.991920532712269	0.583569850340627
ITGA5	0.753938126649612	0.488051471696168
AHCY	0.494053869448882	0.128510798611935
ACAT1	0.557006128351413	0.254166545753038
ASAH1	0.592982357015263	0.230134315401632
RPL9	0.896797266741157	0.431512200826893
GTF2F1	0.521217204044721	0.180903884668864
UBE2V2	0.7569564987753	0.450376168362732
AAMDC	0.559838101915462	0.207953763235561
JUND	0.717939417719881	0.425151703577459
IFI6	1.04142245893711	1.94152069396464
COL8A2	1.50043371335865	0.789062281399626
VIM	0.888836073389636	0.602113097682549
PIEZO1	0.648499891949456	0.292104316008226
EID1	0.522784125152258	0.184309803904754
RBM8A	0.516218793211	0.178064860341567
OAT	0.544573211998214	0.246001018665172
MLEC	0.5626269549935	0.238506262481804
COPB2	0.530337562918239	0.221305466487133
DDX39B	0.543491431352415	0.207144480012683
RPL35	0.621125862404976	0.256785672351392
LUC7L3	0.633868449622743	0.265744771426764
ITM2C	0.74573830002509	0.348787366749961
LAYN	0.911742706752258	0.399118145121856
MRPL33	0.624560571632508	0.2386423181641
MRPL47	0.558544622434259	0.256304542687512
TMX2	0.488191040252659	0.129392924883601
GPSM1	0.595382851997385	0.233097724440157
NDUFA10	0.518225008303116	0.184156000972562
GTF2I	0.699599887745901	0.321781559341588
RPL19	0.569257178938993	0.182365197863183
MRPL27	0.559559471352249	0.189833500659226
GPNMB	1.32154536676632	0.620151845783891
RHEB	0.696732781151567	0.368430121328807
TOR1A	0.484057221669213	0.131609202838413
UBE2A	0.523308071828056	0.19097984654312
ZDHHC7	0.563838807347259	0.260932220652542
IGBP1	0.527381705199003	0.154769476988313
ARL2	0.562198835356599	0.212251245849127
ENAH	0.83863408764209	0.45535996210267
PON2	0.680951133014756	0.350604353806294
RCN1	0.583790893105043	0.268474596790202
KRT18	2.59507912423884	3.17006641591037
DRAM1	0.898920897140031	0.491182981570453
TCEAL4	0.557734871523996	0.165040027375563
FARSA	0.520511004924498	0.178128831840095
EMD	0.520318719154806	0.191728594888671
RBM17	0.519659730995015	0.16466177591089
BAG1	0.737995707369002	0.57083656677346
UNC50	0.544266941768014	0.179576634668438
PSMB4	0.524166675858522	0.135112577846683
CCNL2	0.700775102234394	0.354557322545708
PIN1	0.520142261785627	0.173315223193296
CAPZA1	0.704427796867539	0.363770910137105
GABARAPL1	0.966264982962214	0.665718400631846
TMEM208	0.565418350349175	0.195747654148599
TMBIM4	0.589517233148032	0.304954761132807
ARSA	0.850748670884974	0.38929867975678
TNFRSF12A	0.730391073308992	0.333214463036279
CDC42EP3	0.625419276423877	0.275000738169894
PSENEN	0.612073075764548	0.264407580381055
C12orf75	0.789269483212195	0.419349555926208
GLIPR1	1.0396101011879	0.643583817211402
SMPD1	0.689821635331467	0.37570071079495
DNASE2	0.533784986807446	0.150800254156115
PSMC1	0.538693499716647	0.250335618103349
ARHGDIA	0.584106501134792	0.26411400513995
TGIF1	0.597211465498174	0.255057080073792
DUT	0.577275083791311	0.239634987613693
KANK2	0.690828057979754	0.356475209651095
LDHB	0.572123679489798	0.261840799367621
DAD1	0.514433259604596	0.153852763778509
DAB2	0.621509286852752	0.265546639083694
MZT2B	0.704611033411312	0.382591383987881
HNRNPC	0.521709837367152	0.175914501391966
SEPN1	0.556897828788122	0.225710783947375
RBPMS	0.746330254952728	0.415636720385364
POLR2K	0.569465292538931	0.217309459685395
TEX261	0.537793799432731	0.215128699841931
GSTM3	0.836571149297042	0.42226113928887
RPS15	0.589830484342223	0.191523252635004
DCTN3	0.527607548955781	0.184469291643782
MCL1	0.606914650522474	0.296415309567572
HNRNPUL2	0.500107978662323	0.176546278851458
DGCR6L	0.558030566224674	0.188082081956033
HNRNPH1	0.563360954274828	0.187103930773714
DPM3	0.610150209347986	0.247295740651722
TCF3	0.568865247796059	0.245445370222613
CDC37	0.552617895938233	0.227140259001008
C19orf70	0.588496674206718	0.232675756153005
RPL3	0.515570140785058	0.106438653863376
ACTG1	0.623413187396639	0.270616096096639
NDUFS2	0.492518479251232	0.146666740535057
TXNDC5	0.662824128818609	0.314160211290186
BCCIP	0.572842434413576	0.266464709813465
CITED2	0.73652538522513	0.394266653361571
EFEMP2	0.581232474979139	0.219735991548072
NEXN	0.781347826680378	0.398166422915842
PLP2	0.631493871942089	0.301616956303931
SEMA3C	1.17991461975699	0.670771742477316
XRCC6	0.50248561703998	0.183578182738501
TLN1	0.560552441121889	0.220229199036057
CD46	0.655715329406004	0.334163348543175
METTL9	0.557756023530946	0.255162338765945
VPS28	0.556588868470205	0.170672163755784
VOPP1	0.52130491124956	0.173965567826243
MKNK2	0.690875427622782	0.299908185651339
C16orf45	0.71747026447858	0.41152048200149
RPS19	0.667200818034238	0.256048444180067
CDK7	0.75084539599059	0.41643492810269
SSSCA1	0.591004562527479	0.218174084859191
FLNC	0.741949620891533	0.406240786874272
HNRNPK	0.518412428136661	0.210770041671906
PAFAH1B1	0.617421038438469	0.304908343414997
PDLIM1	0.669347187370245	0.337168596365668
ADAM9	0.882914228834937	0.56318317644956
PSMA3	0.554291970056203	0.201201573059427
MARK3	0.530081522857112	0.16307369016804
AHSA1	0.509249385093999	0.119103428639273
SERPING1	1.32320742534006	0.709801609587633
MRFAP1L1	0.577399422843063	0.22173910543817
PABPC4	0.526055136614892	0.166338350913984
DCN	1.42116606446218	0.962080640128326
CLDN11	1.49344802640363	1.00531979373127
AMZ2	0.50623057979429	0.158417716356638
NAA10	0.585008666027252	0.222529639191886
PXDN	0.685041642963173	0.309264528635175
YIF1A	0.576674741483422	0.216775481349306
ZMYND11	0.662292765062323	0.301567880160167
VKORC1	0.601060528047846	0.225195794370411
COL16A1	0.712950346759092	0.331433742935448
RPL29	0.639331737134758	0.236695663365015
RPS24	0.600241965165567	0.24582478893018
FEZ1	0.627211980098611	0.282044145794258
MMP1	1.86200219737064	1.46075897732481
TMEM179B	0.587239642840579	0.209340351403667
NPIPA1	0.876008531595687	0.495137016928346
COPRS	0.630575711452252	0.359088150137102
PSME2	0.626938897987469	0.299876206863282
FRMD6	0.781774771297461	0.458117764910512
WBP1	0.555346889701829	0.18438270216744
OLFML3	0.769618516979303	0.458715652899077
LDHA	0.678536109766043	0.405283072480254
QSOX1	0.679124203771538	0.300770435205532
COPS2	0.674115513137103	0.349205822259649
HSP90B1	0.719812982887212	0.434173825775749
CHMP4B	0.493315835168461	0.120428780026251
PPP2R5C	0.55139731083673	0.250246501924252
CXCL12	1.16333815886828	0.84742275944829
YIPF2	0.55870052143137	0.214074698999966
EDF1	0.562577589610412	0.188907116887966
AAMP	0.489946271255588	0.130089956460547
ERH	0.588271963639675	0.196493139886432
PFN2	0.737231852769165	0.401869233678204
NT5C	0.707354131546416	0.371878463309869
ELL2	0.703108059254574	0.339372142904728
MAF1	0.526237588596945	0.158139180641377
SSBP1	0.530273215166239	0.172736060576066
CHCHD1	0.516575662566216	0.181791426879937
TMEM119	0.810906213864181	0.296955411416303
PCDHGC3	0.654025123354349	0.27925804449421
DLGAP4	0.537778927461179	0.224452300894197
AP3D1	0.530452329671695	0.204638390145584
ANAPC13	0.610917216354308	0.307097357957006
SPG21	0.53752569788324	0.209761892625135
LIMA1	0.579203742703822	0.243988425874326
C6orf48	0.639216263899312	0.270678134559184
ASNA1	0.517353912797065	0.140609104082985
QARS	0.535585126837187	0.217534356791601
CCM2	0.51777149108607	0.175233859144457
ANP32B	0.533841623245266	0.197632567824086
SRSF2	0.604959138875389	0.284648737870497
AES	0.51266349267073	0.12938095251719
NXN	0.692515371376209	0.302214630058733
TBCA	0.575394641479663	0.189559872170583
ISCU	0.578766972836194	0.248691892079407
RBMX	0.566407785241235	0.256952096527907
STOM	0.890381919681034	0.625221356910633
TNRC18	0.652491226783816	0.331132409549409
PAM	0.818172767895295	0.461885991545651
LINC00493	0.643056747417789	0.264323030827995
RPS6	0.569726142857318	0.194236375888653
TUBG1	0.588854859810614	0.268397625832835
ATP6V1F	0.62116398390725	0.245663603980908
C1QTNF5	1.15469421634957	0.461993415262272
GPC1	0.816313019995574	0.415800019140049
P3H1	0.641000294997057	0.288287871527492
CCT7	0.507542158504239	0.19603203269708
PDHB	0.509796929359007	0.167259914252033
ANXA6	0.522195906606391	0.190803463904422
CLTC	0.612630722604509	0.268509771714038
C11orf58	0.634156570112802	0.264131166759745
MKRN1	0.562588555203358	0.233685067964381
FHL1	0.911801332224349	0.535716319974445
MXRA5	1.41824519257283	0.644530591646152
TIMM17A	0.749895110248567	0.398222565315051
PDCD6	0.479798909129103	0.12632125824379
CEBPD	0.786438087844532	0.390346607190423
COL4A2	1.51195813944364	0.727210090238367
ACTA2	1.32305814422783	0.635828147592396
SLC25A1	0.578338876086376	0.2641352149373
GSTM2	0.598838704767472	0.215341058777196
HSPE1	0.681172631118096	0.282285819938845
FXYD5	0.666145702955009	0.347181708654656
DAPK3	0.568268167144817	0.194918490191248
HSPA5	0.696417156876782	0.459996299044964
FGFR1	0.646275793572728	0.305815750322416
ITGB1BP1	0.557675079836423	0.222113362511483
ANXA4	0.557314156662631	0.244087839195001
PSMC2	0.572900676984203	0.206729018819995
GBE1	0.664687373132578	0.355349998119898
EIF4G2	0.602961425112457	0.253365378289274
RAB7A	0.509796408170324	0.15247182111354
TRIM22	0.902376373951949	0.423860575054391
ZNF32	0.566243527011828	0.185576191412621
WDR45B	0.551829912323779	0.197398644049415
HIKESHI	0.517938028473134	0.179670066069329
PKIG	0.755388626368754	0.359965593719435
MSN	0.579130816863765	0.272958112780335
CTBP1	0.506452676404472	0.154840773797179
STK24	0.572781888190509	0.268169458746012
SCPEP1	0.598698205569778	0.225077498783046
SPTBN1	0.870172654080697	0.47236031086744
AJUBA	0.695719557689864	0.325156250699237
SPATS2L	0.624992664982191	0.29072271271803
RPL22L1	1.22612563663881	0.741960359743013
F3	1.16597393534118	0.728702240777513
RGMB	0.890719691286951	0.569610811509003
SMS	0.896278924339191	0.668374656748745
C11orf68	0.567844694114379	0.219618651396266
CCDC85B	0.620801450823956	0.349596694498524
NDUFAF3	0.661443634265635	0.314489042441262
PDE4DIP	0.655004202835699	0.301840554885573
SAFB	0.509021306087684	0.156991914880019
GTF3A	0.541792502674556	0.204750684355913
PSMC5	0.526276860263318	0.155080119550221
MAPRE1	0.562431917151836	0.249472616012806
BABAM1	0.476873522644759	0.10972129576791
CHCHD10	1.08599395347304	0.510676601232688
RBM39	0.594403215267805	0.249331355695953
HNRNPH2	0.561656765344078	0.237002546449329
TMSB4X	0.708460133773266	0.272299046990904
RPL34	0.583678165280466	0.18569957882559
DAZAP1	0.644704306514114	0.359031856403045
COPE	0.531506662336882	0.164142603772486
DNAJB1	0.52058833166139	0.164010202652114
UBE2D3	0.565014616954504	0.245453446883294
DNM2	0.49104710046726	0.133727854487402
TUBB3	0.906518790272722	0.576159781152857
SAT1	0.630468935171767	0.263518090988143
USMG5	0.57363586574388	0.209651246736329
CBX1	0.587776351521924	0.250012596078095
INSIG1	1.02480261182842	0.574788922349685
ARCN1	0.539811039523997	0.209122426136879
ACADVL	0.659623976045101	0.32803509819481
SRSF1	0.603912250000296	0.305944269615674
CDKN1A	0.764957314208221	0.433805213085117
TMEM47	0.975054996320601	0.537290912283766
AARS	0.536555128008083	0.222488502543786
RPN1	0.503865695756931	0.165099395399982
IGFBP6	1.07114234559424	0.696572609725627
SNRNP70	0.557799271981214	0.241772291052729
NDRG1	0.752560761353002	0.328953561846666
RBCK1	0.638685172655574	0.418600608849315
PSME1	0.544454338676243	0.179299474453044
ZNF706	0.561670281371655	0.227409820936048
TADA3	0.500916673141134	0.14219089237946
TXNDC17	0.599029382023457	0.291290667957972
FAM32A	0.493097502667075	0.117346657859935
BTF3	0.509694962366443	0.115174945467152
MRPL17	0.68456191513909	0.291809050848021
GPAA1	0.563826133068993	0.230044636669402
DDIT4	0.786689936085597	0.373828586453102
GINM1	0.659700580433824	0.325375122377687
MRPL13	0.571201753782643	0.277737796920892
NENF	0.611579837754174	0.260214061248571
C1orf122	0.560933121975401	0.217946360497275
S100A11	0.627777932922621	0.283180108854032
PDLIM7	0.782481271946195	0.330394789433876
CAPN1	0.559320232154938	0.232213492843666
CYB5R3	0.617950458522421	0.309445113307339
PTPN11	0.669725309588458	0.331168305718173
NCBP2	0.550613518599298	0.242590997104743
MANF	0.827496061765267	0.507565298119814
ATP1A1	0.519917095838466	0.146259527600125
GAS1	1.11451785746269	0.641621952406244
CCDC92	0.53864311629742	0.17649254258256
SRRT	0.524774278063224	0.179212508227165
AP1M1	0.527727607241	0.19227583896387
ALDH7A1	0.663426825571003	0.316699144519607
CTSB	0.640002019073972	0.328716317464663
TMEM141	0.546192595450445	0.171785927931067
PLIN2	0.605112569993557	0.270323915905774
XPOT	0.636084886442651	0.291178571573843
ENSA	0.542236762778786	0.185856813597755
RAB11B	0.546239570496875	0.188330000185085
ILF3	0.535037759017808	0.212954902815041
LMAN2	0.567415106836705	0.226866848681666
UBXN4	0.788363834529922	0.412482099059534
CEMIP	1.17293302056441	0.702443356300912
RPL36AL	0.628830095894757	0.237831968513587
SCARB2	0.536824047727757	0.186235135499554
PWP1	0.592187744169498	0.319675074674111
CDH2	1.31467870447683	0.772837073221134
EMC10	0.620317957309405	0.249530539297389
SLC25A5	0.529979536631055	0.194481040885263
CCL2	1.76089101345344	1.05830185491268
P4HA1	0.810259195735036	0.456897037813479
BTG1	0.707144381571974	0.360832724690626
CAPZB	0.507941856195773	0.184287172169754
NDUFB6	0.596068797220824	0.197863947604391
MYADM	0.579371610105725	0.26704049795276
KIRREL	0.720932082635184	0.364334445215113
IGFBP5	1.76572975124352	1.49958112802805
MT1E	2.22010693496041	0.590645313597642
CCDC124	0.538049409603445	0.174068725651844
NDUFV2	0.660676833456981	0.368678245824908
SH3GLB1	0.583900713193592	0.278698510332038
RCN3	0.972542696949039	0.522729377468056
